instancia,tempo_execucao,valor_mochila,peso_mochila,capacidade_mochila,peso_total
103741,0.1548465455,32713.333333333332,1720,1720,0
106,7.83836e-05,1725,1734,5202,0
1096,0.0009590844,63723,64853,680956,0
11519,0.0087941705,2657385,2657385,47832930,0
124,9.40186e-05,3274,2034,7119,0
1282,0.0011001073,80086,79954,879494,0
13477,0.0173555467,3379083,3368625,62319562,0
145,8.61064e-05,2966,2966,11864,0
1499,0.0013923901,116121,101131,1163006,0
15768,0.021837262,4344096,4332512,82317728,0
169,0.0001252093,3272,3374,15183,0
1753,0.0010096099,131250,131250,1575000,0
18448,0.0280396816,5751239,5566759,108551800,0
197,0.0001491394,4313,4296,21480,0
2051,0.0017920118,167865,166614,2082675,0
21584,0.0158487722,7164528,7164528,143290560,0
230,0.0001805683,8113,5813,31971,0
2399,0.0021556371,216249,215547,2802111,0
25253,0.0371976148,9172388,9218361,188976400,0
269,0.0001588828,6770,6770,40620,0
2806,0.0029556531,304764,276704,3735504,0
29546,0.0469452523,11864606,11849460,248838660,0
314,0.000244893,8485,8959,58233,0
3283,0.0021042621,354401,354401,4961614,0
34568,0.0608106747,15593477,15247797,327827635,0
367,0.0002945575,11029,10904,76328,0
3841,0.0039038837,456215,457864,6639028,0
40444,0.0304513333,19668481,19668481,432706582,0
429,0.0003510614,18886,14596,109470,0
4493,0.0046723996,578835,576606,8649090,0
47319,0.0796400159,25304273,25369842,570821445,0
50,3.15402e-05,455.3333333333333,252,252,0
501,0.0002887627,18225,18225,145800,0
5256,0.0058825847,805600,753040,11672120,0
55363,0.0981579412,32633200,32597069,749732587,0
58,4.17082e-05,646.0,647,647,0
586,0.0004717224,23862,24305,206592,0
6149,0.0040293175,955114,955114,15281824,0
64774,0.125917675,42518422,41870682,983961027,0
67,4.9965e-05,1562,892,1338,0
685,0.0005738567,29748,29874,268866,0
7194,0.0081857876,1240551,1233326,20349879,0
75785,0.0573339205,53890371,53890371,1293368904,0
78,4.69251e-05,1076,1076,2152,0
801,0.0006858556,46388,38378,364591,0
8416,0.0098595472,1592267,1590724,27042308,0
88668,0.1640075806,69476973,69313426,1698178937,0
91,6.57708e-05,1293,1277,3192,0
937,0.0005546336,48627,48627,486270,0
9846,0.0128444821,2157401,2058941,36031467,0
